step,order2010,order2011,order2012,order2013,order2014,order2015,order2016,order2017
370,florida,ohio,california,west-virginia,texas,wisconsin,pennsylvania,texas
371,alabama,texas,ohio,texas,west-virginia,florida,wisconsin,south-carolina
372,california,rhode-island,alabama,ohio,florida,california,washington,pennsylvania
373,illinois,alabama,rhode-island,alabama,california,georgia,south-carolina,illinois
374,michigan,new-york,new-york,california,ohio,south-carolina,texas,georgia
375,new-york,illinois,california,rhode-island,georgia,washington,georgia,wisconsin
376,texas,michigan,illinois,new-york,alabama,texas,california,california
377,pennsylvania,california,texas,florida,new-york,west-virginia,north-carolina,florida
378,california,pennsylvania,georgia,georgia,rhode-island,alabama,florida,north-carolina
379,georgia,georgia,michigan,illinois,south-carolina,ohio,alabama,oregon
380,south-carolina,texas,florida,south-carolina,washington,new-york,ohio,texas
381,florida,florida,pennsylvania,washington,texas,rhode-island,new-york,alabama
382,washington,south-carolina,south-carolina,michigan,north-carolina,north-carolina,california,california
383,texas,washington,washington,north-carolina,california,california,rhode-island,ohio
384,california,california,california,pennsylvania,illinois,florida,west-virginia,colorado
385,minnesota,north-carolina,north-carolina,california,michigan,michigan,oregon,rhode-island
